text,label
Sísọ̀rọ̀ ìbálòpọ̀ lórí fóònù: Kí èèyàn máa sọ̀rọ̀ ìbálòpọ̀ lórí fóònù tàbí kéèyàn máa tẹ́tí sí àwọn ohun tó ń gbé ìṣekúṣe lárugẹ.,1
"1 BI gbolohùn-asọ̀ kan ba wà lãrin enia, ti nwọn si wá si ibi idajọ, ti nwọn si dajọ wọn; nigbana ni ki nwọn ki o fi are fun alare , ki nwọn ki o si fi ẹbi fun ẹlẹbi; 2 Yio si ṣe, bi ẹlẹbi na ba yẹ lati nà, ki onidajọ na ki o da a dọbalẹ, ki o si mu ki a nà a ni iye kan li oju on, gẹgẹ bi ìwabuburu rẹ̀. 3 Ogoji paṣan ni ki a nà a, kò gbọdọ lé: nitoripe bi o ba lé, ti o ba si fi paṣan pupọ̀ nà a jù wọnyi lọ, njẹ arakunrin rẹ yio di gigàn li oju rẹ. 4 Máṣe di akọ-",1
Ona ati dena re ni ki a mo iru ipin-eje ti olukaluku je ki a to ba ara wa se ere ife eyi ti yoo di omo.,1
"Se iwo nikan lo ma koko nife eyan ni, abi omo yen ti ro efo fun e je?",1
"Nitori ounjẹ, iya agba yii dana sun ọmọ, iyawo atawọn ọmọọmọ rẹ mọle l’Apọnmu",0
"Ajọ Yoruba Agbaye, iyẹn Yoruba World Centre, ti sun ifilọlẹ eto idije imọ Yoruba to fẹẹ fi lọlẹ laipẹ yii siwaju. Eyi ko ṣẹyin ipapoda Alaafin Ọyọ, Ọba Lamidi Atanda Ọlayiwọla Adeyẹmi (Kẹta), ẹni to waja lọjọ Ẹti, Furaidee, ọjọ kejilelogun, oṣu Kẹrin, ọdun 2022 yii.",1
"Wọn lawọn afurasi naa ti jẹwọ p’awọn ni firi-nidii-ọkẹ alọ-kolohun-kigbe agbegbe naa. Kacha ni Ojule ogun, Opopona Omega, niluu Onibudo, loun n gbe, ilu Onibudo naa ni Yusuf n gbe, Adamu ni ile tiẹ yatọ, abẹ biriiji kan ni Akute loun fi ṣe ile. Ṣa, wọn ti ṣeto lati fa awọn afurasi yii le ileeṣẹ ọlọpaa ipinlẹ Ogun lọwọ, ki wọn le tubọ ṣewadii to lọọrin nipa wọn, ki wọn si foju wọn bale-ẹjọ, nibi ti wọn yoo ti fimu kata ofin.",1
"Bi obinrin ba ṣe n dagba si, awọn eroja ara to wa ni oju abẹ obinrin ko ni ṣiṣẹ karakara bi ti tẹlẹ mọ.",1
"sebi o n gbele pawo ni, oniranu ni o",1
"O ti deewọ fawọn Iya Ọṣun, Iya Ibeji ki wọn maa tọrọ owo ninu ọja-Iyalọja Kwara",0
"Arun inu obirin kan jẹ abe, ọkan ninu awọn orisirisi awọn aisan obinrin. Orílẹ-ara ni agbegbe abe tabi abe-ara jẹ aarun ti arun bacteria ti a ma fa. Ti o ba ri awọn herpes bẹẹ ni agbegbe agbegbe, yoo bẹrẹ si kọlu wọn ni ipo giga gan-an, eyi nwaye ni perineum ati ni agbegbe ti iṣiṣi iboju. Ni awọn iṣẹlẹ ti o nira julọ, awọn itọju rẹ ti wa ni tan si ile-ile tabi awọn ohun elo.",1
"Ironu wa ko jọ ara wọn. Ironu ole, ironu ka ja ohun olohun  gba lo wa ninu awọn kan ni Naijiria, bẹẹ ni ironu konikaluku jẹ iṣẹ ọwọ ẹ wa ninu awọn kan. Nigba ti eeyan ba gbọ ọrọ lẹnu awọn ti wọn maa n pe ara wọn ni olori tabi aṣiwaju ni ilẹ Hausa, ko si ohun ti yoo wa si ọkan oluwa ẹ ju pe Naijiria ti wọn n pariwo yii, bo ba jẹ bo ṣe wa naa niyi, yoo ṣoro ki orilẹ-ede naa too bọ ninu hilahilo. Awọn aṣaaju awọn Hausa-Fulani ti wọn wa ni Naijiria yii jẹ kiki ole, opurọ, alonilọwọgba ati oloju-aye.",1
"Iwadii fihan pe ọtọọtọ ni oju abẹ obinrin ma n run, eleyii to nii ṣe pẹlu ounjẹ ti wọn n jẹ, aṣọ ti wọn n wọ, ilera ara wọn ati omi abẹ to n jade ni ara wọn ti ko ba ni aisan afojuri bii bacteria.",1
"Awon onibisi kogbodo kanra mon oko won tobafe iyawo lewon, ki awon naledi olomon",1
Eniyan meji lo gbe emi mi lojiji nibi isele ibi naa nigba ti awon meji miiran fara pa yannayanna ti won si ti gbe won lo si ile iwosan Lagos State University Teaching Hospital (LASUTH) fun itoju to peye. ki Edua oke ba wa dawo ibi duro.,1
" Gbenga, agunbaniro to fo loju n pariwo fun iranlowo, milionu mewaa naira lo nilo fun ise- abe ",0
E wa la obo mi eni boys o,1
" 17 Fi ọ̀pọlọpọ ba iranṣẹ rẹ ṣe, ki emi ki o le wà lãye, ki emi ki o le ma pa ọ̀rọ rẹ mọ́. 18 Là mi li oju, ki emi ki o le ma wò ohun iyanu wọnni lati inu ofin rẹ. 19 Alejo li emi li aiye: máṣe pa àṣẹ rẹ mọ́ fun mi. 20 Aiya mi bù nitori ifojusọna si idajọ rẹ nigbagbogbo. 21 Iwọ ti ba awọn agberaga wi, ti a ti fi gégun, ti o ti ṣina kuro nipa aṣẹ rẹ. 22 Mu ẹ̀gan ati àbuku kuro lara mi; nitoriti emi ti pa ẹri rẹ mọ́. 23 Awọn ọmọ-alade joko pẹlu, nwọn nsọ̀rọ mi: ṣugbọn iranṣẹ rẹ nṣe àṣaro ninu ilana rẹ: 24 Ẹri rẹ pẹlu ni didùn-inu mi ati ìgbimọ mi. ",0
Ilẹ̀ ń jẹ̀'yàn Ọmọ Baba Suwe ló fi ìdí ọ̀rọ̀ náà múlẹ̀ pé Baba Suwe ti jáde laye.,1
Kilode ti e fi n lo redio ti a sese ra?,0
"Kigbogbo awon babalawo ati awon totite ifa maseje ki Oyin tan nidi ifa won titidi amodun, Ogun aye Koni jawa o",1
"Lẹyin naa lo ba awọn eeyan ipinlẹ Ekiti kẹdun, to si tun gbadura pe ki eledua tu awọn ẹbi oloogbe naa ninu.",1
"Odunlade Adekola yarí, ó ní kí àwọn òṣèrébìnrin tí òun bá sùn yọjú síta",1
E Jowo Kinni Kise?🤷 Iyawo Landlord Mi Lo Ma Lo Ntu Iro Niwaju,0
"Ajọ to n gbogun ti iwa ibajẹ nilẹ yii, EFCC ti mu arakunrin ẹni ọdun marunlelọgọta kan, Musa Shuaib, fẹsun pe o n gbe ọpọlọpọ pasu igbo kiri lagbegbe Adewọle, niluu Ilọrin, ti i ṣe olu ilu ipinlẹ Kwara.",0
"Mo nígbàgbọ́ wípé Ìbáṣepọ̀ ṣe pàtàkì, ó ṣe pàtàkì láti jíròrò nípa rẹ̀ kí à sì gbé ìgbésẹ̀ lórí bí ìbáṣepọ̀ yóò ṣe pọ̀ si. Bí ó tilẹ̀ jẹ́ wípé mo dakẹ́ fúngbà díẹ̀,",0
Ó ní pẹ̀lú bó ṣe jẹ́ wí pé gbogbo àwọn tí ọ̀rọ̀ kan ni àwọn ti bá jíròrò àti pé ìjọba máa ń ṣe àmójútó ẹ̀ka epo bẹntiróòlù síbẹ̀ àwọn ibùdó epo bẹntiróòlù ń ta epo bẹntiróòlù fún àwọn alágbàtà ju iye tí ìjọba lọ́wọ́ sí lọ.,0
Oniso iya ma ni eni ti o tura ,1
"O sọ fun mi pe oun ṣe nkan naa nitori pe oun ko ri nkan ṣe, ati pe oun fẹran lati ma a ki nkan ọmọkunrin oun si inu iho kekeeke.",1
"O da bi m pe, eyan ka dawo tele si ibi bayi o tori pe o n run",1
 Eni to ba kan ole je eyin abe irin se ni won ma fi eyin ge je. ,0
"Lati igba naa si lo ti pa foonu, igbakuugba ta ba si pe e, epe lo maa n sẹ fun gbogbo wa. Iya ibeji mọ pe n ko sọnu, o mọ ibi to le wa mi si, o wu lo ko awọn ọmọ sa fun mi.”",0
"ma beru o, ma lo ma fo",0
Gbogbo igba ni kokoro abe e ma n dide.,1
Abere Dayo ti duro. O ti setan lati do obinrin,1
