text,label
Eniyan meji lo gbe emi mi lojiji nibi isele ibi naa nigba ti awon meji miiran fara pa yannayanna ti won si ti gbe won lo si ile iwosan Lagos State University Teaching Hospital (LASUTH) fun itoju to peye. ki Edua oke ba wa dawo ibi duro.,1
Kii ṣe igba akọkọ niyi ti wọn yoo yẹyẹ awọn akẹkọbinrin nitori asiko nkan oṣu.,1
Ayorinde ṣalaye siwaju si pe awọn akọsẹmọṣẹ oniṣegun lati ilẹ Amẹrika lo ṣe ayẹwo oku oloogbe naa.,1
Èèwọ̀ méje tí kò fi ìdí múlẹ̀ nípa nǹkan oṣù obìnrin nílẹ̀ Yorùbá,1
"Bakan naa, ni ọjọ Iṣẹgun, Tusidee, ni awọn afurasi to jẹ ẹlẹgbẹ AbdulGaniy ti wọn pa lọọ gbesan iku ọkan ninu wọn yii, ti wọn si pa arakunrin kan ti wọn n pe ni Adebayọ Yitta, nidii ofi to ti n hun aṣọ. Awọn tọrọ naa ṣoju wọn sọ pe lẹyin ti wọn yin Adebayọ nibọn tan ni wọn tun n ṣa a ladaa titi ti ẹmi fi bọ lara rẹ.",0
"“Lọjọ Isinmi, ọmọ iya agba naa ati iyawo rẹ jade laye nigba ti ọmọ kan ṣoṣo to ku wa ni ẹsẹ kan aye ẹsẹ kan ọrun.”",0
Awoͅn miran tileͅ ma n fun awoͅn dokita ni riba ki woͅn ba fi orukoͅ baba ati iya to ra ile oͅmoͅ naa si geͅgeͅ bi obi oͅmoͅ jojolo naa.,1
Awọn itọkasi si awọn orisun agbegbe pẹlu idanwo STI ati alaye lori ilera ibalopo,1
" Iwe ere ori itage ni iwe yii. o da le ori Basorun Gaa, eni tii pa oba tii tun fi oba je. ",0
Ìtura ojó oorun (Sleep-Gasm),1
Iya ibeji kuro nile fun osu meji lọ sọdọ ọkọ mii to ni ni Ibadan,0
"ERIN WO, AJANAKU SUN BI OKE. OLOWO WAJA, BABA RELE",1
"Egba mi oo pelu bi Nigeria se ri yi kosi owo kosi ounje kinni abe mi tun gberi soke alaini ironu,kinni mofe se bayii🙆🙆🙆🙆",1
"Wọn lawọn afurasi naa ti jẹwọ p’awọn ni firi-nidii-ọkẹ alọ-kolohun-kigbe agbegbe naa. Kacha ni Ojule ogun, Opopona Omega, niluu Onibudo, loun n gbe, ilu Onibudo naa ni Yusuf n gbe, Adamu ni ile tiẹ yatọ, abẹ biriiji kan ni Akute loun fi ṣe ile. Ṣa, wọn ti ṣeto lati fa awọn afurasi yii le ileeṣẹ ọlọpaa ipinlẹ Ogun lọwọ, ki wọn le tubọ ṣewadii to lọọrin nipa wọn, ki wọn si foju wọn bale-ẹjọ, nibi ti wọn yoo ti fimu kata ofin.",1
"O da bi m pe, eyan ka dawo tele si ibi bayi o tori pe o n run",1
"Iya iya mi dagba, mo dupe fun igbe aye to gbe",1
"Awọn obinrin yẹ ki o ṣe iwadii aarun igbaya aarun igbaya, bi akàn igbaya jẹ iru aarun obinrin ti o wọpọ julọ. Awọn ibeere akoko Apapọ ipari gigun ti ilu okeere Akoko ti o lo ni ita yoo dale lori itọju naa.",1
Ile ma n je'yan. Mo gbo pe baba awon omo yen kú nínú ìjàmbá ọkọ̀,1
Ba mi gbe kinni ti mo ra sori tabili,0
"Siwaju si, o so wipe owo awon olopa ti ba mejila ninu awon alare na ti o sa jade nigbati awon olopa n sise. ",1
"Nigba to di 2005, Oladimeji ni iya ibeji tun sọ fun oun pe oun fẹ rinrin ajo, ti oun si ni ko le lọ, amọ nigba ti oun jade lọ, iya ibeji ti ko awọn ọmọ rẹ lọ.",0
"Ibadan ti o jale, Oju lonro, Ibadan omo ajorosun, alo koloun kigbe",1
AWON EGBE IGBIMO ASOFIN TI N FI AKE KORI BI ISE O SE KARI FUN AWON OMO ORILE EDE NIGERIA. ,1
"Akara iya ati ọmọ naa tu sepo lasiko ti awọn ọlọpaa n yẹ ẹru wọn wo ni opopona Itamaga si Ikorodu, niluu Eko.",1
